시,구,동,2022년01월_총인구수,2022년01월_세대수,2022년01월_남자인구수,2022년01월_여자인구수
수원시,장안구,파장동,23272,10720,11777,11495
수원시,장안구,율천동,41947,19848,22129,19818
수원시,장안구,정자1동,28784,10939,14149,14635
수원시,장안구,정자2동,36386,15059,17830,18556
수원시,장안구,정자3동,41304,14285,20627,20677
수원시,장안구,영화동,19855,10750,10139,9716
수원시,장안구,송죽동,19383,8925,9629,9754
수원시,장안구,조원1동,28139,12859,14202,13937
수원시,장안구,조원2동,18480,6501,8894,9586
수원시,장안구,연무동,15849,8440,8161,7688
수원시,권선구,세류1동,10057,4426,5045,5012
수원시,권선구,세류2동,23660,12451,12218,11442
수원시,권선구,세류3동,18693,9162,9435,9258
수원시,권선구,평동,40323,16639,20412,19911
수원시,권선구,서둔동,37949,17255,19342,18607
수원시,권선구,구운동,24220,10772,12256,11964
수원시,권선구,금곡동,45369,17515,22357,23012
수원시,권선구,호매실동,46129,17304,22933,23196
수원시,권선구,권선1동,24578,13212,12581,11997
수원시,권선구,권선2동,48161,17242,23683,24478
수원시,권선구,곡선동,31449,16296,16822,14627
수원시,권선구,입북동,16456,6170,8320,8136
수원시,팔달구,매교동,5839,3294,3074,2765
수원시,팔달구,매산동,10272,6017,5526,4746
수원시,팔달구,고등동,20070,9501,10125,9945
수원시,팔달구,화서1동,22468,10015,10905,11563
수원시,팔달구,화서2동,25672,9626,12618,13054
수원시,팔달구,지동,10601,5611,5419,5182
수원시,팔달구,우만1동,20042,10866,9997,10045
수원시,팔달구,우만2동,16849,7598,8476,8373
수원시,팔달구,인계동,39740,22159,20026,19714
수원시,팔달구,행궁동,10437,6564,5597,4840
수원시,영통구,매탄1동,17499,7651,8811,8688
수원시,영통구,매탄2동,14722,6522,7312,7410
수원시,영통구,매탄3동,35753,15789,18533,17220
수원시,영통구,매탄4동,21315,9452,10422,10893
수원시,영통구,원천동,38673,18074,19595,19078
수원시,영통구,영통1동,34674,12605,17061,17613
수원시,영통구,영통2동,26035,13157,13783,12252
수원시,영통구,영통3동,32414,13504,16588,15826
수원시,영통구,망포1동,30985,10890,15625,15360
수원시,영통구,망포2동,27766,9424,13862,13904
수원시,영통구,광교1동,52935,22033,25872,27063
수원시,영통구,광교2동,29200,11620,14057,15143
