시,구,동,2021년07월_총인구수,2021년07월_세대수,2021년07월_남자인구수,2021년07월_여자인구수
수원시,장안구,파장동,23488,10709,11839,11649
수원시,장안구,율천동,42819,20107,22653,20166
수원시,장안구,정자1동,29245,10998,14402,14843
수원시,장안구,정자2동,29535,12559,14487,15048
수원시,장안구,정자3동,42117,14333,21015,21102
수원시,장안구,영화동,20072,10703,10259,9813
수원시,장안구,송죽동,19586,8905,9727,9859
수원시,장안구,조원1동,28322,12805,14284,14038
수원시,장안구,조원2동,18801,6555,9060,9741
수원시,장안구,연무동,16059,8493,8272,7787
수원시,권선구,세류1동,10245,4455,5142,5103
수원시,권선구,세류2동,23518,12281,12116,11402
수원시,권선구,세류3동,18887,9135,9536,9351
수원시,권선구,평동,40412,16518,20450,19962
수원시,권선구,서둔동,37974,17027,19353,18621
수원시,권선구,구운동,24458,10685,12332,12126
수원시,권선구,금곡동,45597,17358,22521,23076
수원시,권선구,호매실동,46434,17200,23135,23299
수원시,권선구,권선1동,24747,13047,12644,12103
수원시,권선구,권선2동,48887,17335,24027,24860
수원시,권선구,곡선동,27298,14476,14711,12587
수원시,권선구,입북동,16700,6197,8457,8243
수원시,팔달구,매교동,5892,3305,3094,2798
수원시,팔달구,매산동,10431,6084,5584,4847
수원시,팔달구,고등동,19580,9200,9862,9718
수원시,팔달구,화서1동,22631,9999,11009,11622
수원시,팔달구,화서2동,26328,9671,12928,13400
수원시,팔달구,지동,10921,5741,5571,5350
수원시,팔달구,우만1동,20199,10819,10078,10121
수원시,팔달구,우만2동,17044,7629,8563,8481
수원시,팔달구,인계동,39521,21731,19972,19549
수원시,팔달구,행궁동,10651,6646,5691,4960
수원시,영통구,매탄1동,17846,7711,8960,8886
수원시,영통구,매탄2동,14900,6540,7391,7509
수원시,영통구,매탄3동,36109,15731,18683,17426
수원시,영통구,매탄4동,21701,9486,10598,11103
수원시,영통구,원천동,38945,18108,19712,19233
수원시,영통구,영통1동,35157,12620,17278,17879
수원시,영통구,영통2동,26364,13146,13942,12422
수원시,영통구,영통3동,32699,13394,16723,15976
수원시,영통구,망포1동,31214,10904,15733,15481
수원시,영통구,망포2동,27970,9471,13980,13990
수원시,영통구,광교1동,52918,21946,25918,27000
수원시,영통구,광교2동,29393,11631,14191,15202
